Input File,Display Name,File Name
Baseline,B,DIV 19 LSL-Cas9-PVcre with fith batch of gRNAs plate3  5uM CNO(000)(000)_NeuralEventDetector_neuralMetrics_FIRST 60 SEC.csv

Plot Selection,One File Per Plot
Plot Display,Raw Values
Error Bars,Standard Error
Well Exclusion Criterion,    Mean Firing Rate (Hz),0


    Number of Spikes
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
,0.207424,0.317138,0.427881,0.170135,0.295153,0.181779,0.186031,0.266453,
,0.296547,0.174780,0.172746,0.260044,0.263416,0.295581,0.183769,0.172898,
,0.417333,0.218262,0.387712,0.175659,0.253724,0.248458,0.181005,0.392672,
,0.203658,0.147119,0.242572,0.107952,0.139540,0.107959,0.169454,0.127539,


    Burst Duration - Std (sec)
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,0.104009,0.087983,0.118113,0.067833,0.080846,0.105061,0.059801,0.122126,
B SEM,0.019358,0.015485,0.028804,0.009194,0.016564,0.024090,0.005589,0.029760,
B Replicates,0.126299,0.032999,0.099088,0.110450,0.034624,0.154926,0.015973,0.203681,
,0.051983,0.111715,0.074151,0.035226,0.077477,0.081335,0.087872,0.092929,
,0.055217,0.054063,0.102948,0.083186,0.043926,0.137897,0.058764,0.306716,
,0.047754,0.061247,0.050986,0.040991,0.040628,0.059186,0.046566,NaN,
,NaN,0.081309,0.088911,0.026439,0.047400,0.068081,0.064758,0.021476,
,NaN,0.039125,0.170719,0.060238,0.043078,0.104633,0.059151,0.118711,
,0.133168,0.055397,NaN,0.058783,0.236969,0.032797,0.045086,0.182445,
,0.174760,0.194387,0.055584,0.078158,0.077853,0.054168,0.051800,NaN,
,0.042105,0.178058,0.387114,0.066256,0.141243,0.065587,0.078462,0.028896,
,0.061625,0.103741,0.065729,0.130667,0.090805,0.346053,0.078782,0.037278,
,0.217240,0.107266,0.125200,0.087663,0.074647,0.084868,0.074286,0.179158,
,0.129938,0.036483,0.078816,0.035933,0.061505,0.071200,0.056115,0.049966,


    Number of Spikes per Burst - Avg
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,23.496872,26.830126,29.287482,22.659309,25.728211,23.590334,28.358410,31.405367,
B SEM,3.008249,2.196433,3.301828,1.603500,1.892106,2.665879,2.267572,2.946599,
B Replicates,22.385417,38.821429,31.800000,14.250000,24.186111,47.883419,7.949624,28.333333,
,17.195833,40.437500,40.875000,17.424107,23.843750,29.042857,42.333333,23.437500,
,13.925000,28.103458,23.404911,15.714137,21.187500,20.000000,25.904514,36.214286,
,15.188393,14.511607,15.497619,25.245806,12.795918,18.045833,33.113636,NaN,
,NaN,27.630102,26.045833,24.750000,22.650000,19.250000,29.625000,26.925000,
,NaN,20.754167,23.161905,23.187500,18.425000,23.592014,28.062500,31.803571,
,21.110417,19.291955,NaN,26.119097,30.833333,15.828125,33.380952,31.502083,
,27.427656,27.977083,18.943750,26.090111,28.175000,14.395969,27.916667,NaN,
,20.943452,28.072340,45.476438,25.050000,33.215476,19.335169,30.095280,39.892058,
,19.690466,21.148237,19.720486,33.250000,27.606507,29.031811,28.894841,21.478125,
,46.214583,31.053571,47.310764,24.289286,36.163690,28.957576,25.789790,51.838857,
,30.887500,24.160061,29.925595,16.541667,29.656250,17.721230,27.234785,22.628856,


    Number of Spikes per Burst - Std
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,10.731101,12.586589,13.173133,9.027256,12.960269,14.951416,9.184283,16.004870,
B SEM,1.828550,1.985899,2.503005,1.149864,1.939090,3.132370,1.158861,2.766683,
B Replicates,8.074546,9.153613,10.399451,10.253048,5.362772,28.621991,1.629873,16.517702,
,6.008266,14.763462,12.203223,5.254196,10.189031,18.344173,5.321415,13.110621,
,6.051544,8.204175,7.414678,8.148906,6.267476,13.682105,11.388278,28.055197,
,7.303262,8.531900,8.042383,12.704330,6.235509,7.221693,9.556487,NaN,
,NaN,14.138797,16.860792,5.909556,10.583556,15.146805,12.202003,6.500934,
,NaN,8.597323,11.863783,11.261700,10.824773,13.323965,7.924714,10.704158,
,10.492038,4.438710,NaN,13.616871,29.815837,8.588941,11.917818,29.910621,
,14.126721,19.485654,9.917713,14.832154,15.713756,7.750175,11.022524,NaN,
,6.161680,29.734263,35.993913,10.630952,18.229654,9.302326,17.399844,9.720332,
,8.977876,15.135250,8.258081,9.652683,16.241951,42.998373,6.810968,8.117127,
,23.826300,12.221698,16.838790,3.312856,12.547057,6.164592,7.695978,26.019058,
,16.288772,6.634217,7.111660,2.749820,13.511858,8.271855,7.341497,11.392954,


    Mean ISI within Burst - Avg (sec)
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,0.010271,0.009235,0.009677,0.009381,0.010141,0.012333,0.006984,0.008360,
B SEM,0.000814,0.000800,0.000788,0.000886,0.000922,0.001896,0.000291,0.000464,
B Replicates,0.007376,0.005384,0.006412,0.017441,0.006030,0.008436,0.007027,0.007757,
,0.011126,0.007319,0.007287,0.006202,0.011116,0.009748,0.006389,0.012056,
,0.014430,0.007400,0.016204,0.007384,0.017144,0.030237,0.008250,0.009084,
,0.009355,0.012582,0.010560,0.011149,0.011054,0.012529,0.005616,NaN,
,NaN,0.009702,0.010584,0.007333,0.010898,0.015800,0.005724,0.007929,
,NaN,0.009524,0.008952,0.008052,0.010654,0.007146,0.005793,0.008504,
,0.010589,0.011799,NaN,0.008935,0.011866,0.009494,0.007440,0.007925,
,0.009088,0.010250,0.008941,0.012352,0.007537,0.017949,0.006798,NaN,
,0.008963,0.014789,0.008902,0.007382,0.009828,0.008870,0.007741,0.007472,
,0.014316,0.008287,0.008097,0.008028,0.012114,0.011833,0.007590,0.006827,
,0.010749,0.006309,0.011469,0.008632,0.008548,0.009229,0.008738,0.008748,
,0.006721,0.007474,0.009034,0.009684,0.004900,0.006722,0.006700,0.007300,


    Mean ISI within Burst - Std (sec)
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,0.004692,0.003656,0.003228,0.003289,0.003838,0.005144,0.002052,0.002613,
B SEM,0.000926,0.000695,0.000461,0.000541,0.000673,0.001132,0.000306,0.000334,
B Replicates,0.003032,0.001135,0.001767,0.005662,0.000765,0.002357,0.002502,0.003301,
,0.011509,0.002236,0.001587,0.001029,0.002500,0.003787,0.001741,0.003880,
,0.005259,0.001716,0.003090,0.002849,0.005965,0.015183,0.002643,0.001396,
,0.003257,0.009113,0.002702,0.006778,0.005886,0.007708,0.001252,NaN,
,NaN,0.003320,0.003895,0.001008,0.002476,0.007986,0.000928,0.002360,
,NaN,0.003510,0.004232,0.001840,0.003968,0.002093,0.000744,0.004684,
,0.002461,0.004953,NaN,0.004054,0.004572,0.002874,0.002359,0.002228,
,0.003853,0.004391,0.003971,0.003562,0.002396,0.007294,0.001299,NaN,
,0.003482,0.006853,0.003222,0.001448,0.005015,0.003774,0.002740,0.001636,
,0.007918,0.003184,0.002052,0.002215,0.008610,0.005174,0.002193,0.001757,
,0.004245,0.000825,0.006913,0.004585,0.003400,0.002073,0.004645,0.002791,
,0.001900,0.002638,0.002074,0.004442,0.000509,0.001428,0.001582,0.002100,


    Median ISI within Burst - Avg (sec)
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,0.005553,0.004479,0.005176,0.005831,0.005480,0.007052,0.004446,0.004680,
B SEM,0.000479,0.000315,0.000413,0.000476,0.000372,0.001515,0.000278,0.000224,
B Replicates,0.004517,0.003594,0.003761,0.009500,0.003971,0.004211,0.005529,0.004452,
,0.007995,0.004064,0.003780,0.004183,0.005025,0.004560,0.003532,0.005770,
,0.007532,0.003809,0.007777,0.005141,0.007228,0.022833,0.003885,0.004662,
,0.005000,0.007217,0.005403,0.007093,0.006542,0.006769,0.003400,NaN,
,NaN,0.004072,0.006210,0.004458,0.005585,0.007519,0.003506,0.004570,
,NaN,0.004802,0.004124,0.004764,0.005236,0.003975,0.003579,0.005840,
,0.004392,0.003843,NaN,0.005437,0.007012,0.004490,0.004746,0.004345,
,0.004149,0.004011,0.004575,0.007260,0.004349,0.009735,0.004372,NaN,
,0.003862,0.005978,0.004865,0.004520,0.004722,0.004454,0.004814,0.004159,
,0.006640,0.004151,0.003808,0.004615,0.007301,0.006062,0.004686,0.003483,
,0.006723,0.003539,0.006972,0.005417,0.005295,0.005166,0.006635,0.004544,
,0.004715,0.004669,0.005666,0.007581,0.003497,0.004847,0.004674,0.004979,


    Median ISI within Burst - Std (sec)
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,0.002971,0.001758,0.002064,0.002050,0.002862,0.004315,0.001245,0.001443,
B SEM,0.001052,0.000718,0.000566,0.000472,0.000801,0.001928,0.000329,0.000366,
B Replicates,0.001744,0.000633,0.000570,0.004695,0.000456,0.000716,0.002231,0.001147,
,0.011586,0.000862,0.000446,0.000570,0.000866,0.001658,0.000300,0.001451,
,0.003506,0.000526,0.003448,0.001803,0.006152,0.024528,0.000684,0.000745,
,0.001763,0.009244,0.001710,0.005270,0.004184,0.006443,0.000526,NaN,
,NaN,0.000972,0.003177,0.000650,0.001468,0.003546,0.000374,0.001545,
,NaN,0.001048,0.000944,0.000935,0.001262,0.000736,0.000418,0.004516,
,0.000483,0.000688,NaN,0.001561,0.003698,0.000888,0.001569,0.000932,
,0.001053,0.001065,0.001187,0.002225,0.001059,0.006450,0.001071,NaN,
,0.000507,0.003409,0.002750,0.000688,0.002276,0.001633,0.001672,0.000777,
,0.004326,0.000949,0.000439,0.000806,0.009776,0.002036,0.000910,0.000353,
,0.003731,0.000309,0.006692,0.001670,0.002683,0.001912,0.004338,0.001234,
,0.001010,0.001393,0.001343,0.003728,0.000463,0.001237,0.000846,0.001727,


    Median/Mean ISI within Burst - Avg
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,0.602116,0.573509,0.571889,0.649808,0.573647,0.581380,0.661861,0.597483,
B SEM,0.021787,0.021304,0.016084,0.020099,0.026424,0.020494,0.021605,0.016853,
B Replicates,0.630964,0.688982,0.616540,0.517164,0.673802,0.530123,0.803137,0.622791,
,0.675680,0.598231,0.550421,0.714735,0.492299,0.517460,0.593091,0.510572,
,0.546746,0.614258,0.462822,0.717172,0.376568,0.591078,0.502051,0.543393,
,0.604401,0.596499,0.576432,0.617922,0.602926,0.575182,0.642452,NaN,
,NaN,0.499149,0.579111,0.649335,0.558162,0.503973,0.644451,0.597643,
,NaN,0.598635,0.589802,0.630998,0.541965,0.629900,0.653367,0.633534,
,0.482104,0.473834,NaN,0.654717,0.604751,0.605902,0.668854,0.604609,
,0.612110,0.507258,0.643837,0.579703,0.615324,0.527851,0.656164,NaN,
,0.542763,0.450710,0.568096,0.643546,0.523190,0.591878,0.652689,0.594201,
,0.586904,0.588571,0.589475,0.607494,0.540482,0.613194,0.658507,0.632011,
,0.614970,0.611705,0.494770,0.681589,0.618829,0.527608,0.741319,0.543730,
,0.724517,0.654272,0.619471,0.783322,0.735470,0.762406,0.726250,0.692343,


    Median/Mean ISI within Burst - Std
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,0.110297,0.103693,0.095378,0.086621,0.107276,0.117045,0.072455,0.072360,
B SEM,0.008345,0.012525,0.009789,0.012105,0.014329,0.028641,0.004844,0.009208,
B Replicates,0.070769,0.054538,0.086931,0.071022,0.033409,0.070344,0.055826,0.099825,
,0.159615,0.085839,0.066840,0.077107,0.084127,0.088789,0.109672,0.135461,
,0.123346,0.061620,0.114099,0.059723,0.143495,0.414835,0.077057,0.064927,
,0.096661,0.187758,0.075666,0.063712,0.111622,0.158255,0.070823,NaN,
,NaN,0.093879,0.100500,0.029924,0.127996,0.074329,0.061547,0.047904,
,NaN,0.082629,0.154431,0.053948,0.151039,0.086990,0.070886,0.043205,
,0.096558,0.174261,NaN,0.093966,0.171958,0.063816,0.064284,0.084841,
,0.108447,0.150177,0.125217,0.096004,0.038093,0.115394,0.077093,NaN,
,0.114530,0.075987,0.125360,0.097517,0.112033,0.111700,0.045107,0.046742,
,0.097991,0.097287,0.092115,0.075832,0.179425,0.122007,0.080432,0.078045,
,0.090594,0.078300,0.044590,0.193729,0.066256,0.043600,0.065716,0.073641,
,0.144461,0.102040,0.063406,0.126973,0.067855,0.054482,0.091022,0.049005,


    Inter-Burst Interval - Avg (sec)
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,4.752795,4.334181,5.925164,10.980378,3.667041,3.798615,4.768335,4.798372,
B SEM,1.727264,1.002315,1.279147,3.151712,1.075677,0.802003,0.605142,0.895677,
B Replicates,12.816638,5.371400,8.120762,42.209800,5.915625,4.643527,6.258247,6.483539,
,0.432311,11.765109,15.016825,11.352393,1.222738,1.331856,1.494270,0.875110,
,0.679854,4.719867,7.147337,8.193897,0.447920,NaN,6.390605,8.648482,
,0.606922,0.417792,6.185676,3.832648,6.526161,0.960836,5.923616,NaN,
,NaN,0.968221,0.778642,0.754265,1.587797,8.437217,5.110520,3.658671,
,NaN,0.483163,0.715945,7.478891,0.490201,2.912386,5.193127,7.842130,
,0.628409,8.024411,NaN,5.705653,1.147050,3.487138,4.087918,0.524690,
,3.903998,0.654180,3.889431,7.502792,0.640566,1.192707,0.708395,NaN,
,0.647609,2.920348,8.612049,4.845073,4.226278,0.593205,2.757629,5.563085,
,3.909968,5.307895,1.990648,13.387640,1.988884,5.534234,7.493037,2.253752,
,14.412293,6.356978,4.112626,7.487566,7.428534,5.872613,5.623619,6.207052,
,9.489951,5.020814,8.606860,19.013920,12.382743,6.819042,6.179036,5.927213,


    Inter-Burst Interval - Std (sec)
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,1.236834,0.980511,1.257369,1.321190,0.549154,0.876163,1.021869,0.681721,
B SEM,0.396934,0.272467,0.709890,0.528721,0.206623,0.338237,0.496336,0.210566,
B Replicates,2.740723,0.002029,0.007407,0.036826,0.586683,0.838289,5.306237,0.187783,
,0.119706,2.288445,0.001045,6.142475,0.211253,0.197732,0.004473,0.012360,
,0.316857,0.729098,0.930111,2.028431,0.000000,NaN,0.316872,2.008359,
,0.188897,0.169065,1.034713,0.326863,2.544031,0.362352,0.002387,NaN,
,NaN,0.147227,0.190919,0.000524,0.287436,0.018335,0.001854,0.001171,
,NaN,0.143371,0.386895,0.000902,0.113957,0.604398,0.449532,0.637828,
,0.160483,2.587324,NaN,0.989084,0.435400,0.419948,0.004105,0.343784,
,1.425413,0.311355,1.347222,1.908474,0.098162,0.293150,0.146228,NaN,
,0.102052,0.817389,8.238453,0.103329,0.630117,0.361993,0.191282,0.771578,
,1.314229,1.895349,0.423167,0.001003,1.225511,3.549382,1.500946,0.284259,
,3.101561,1.995817,0.516036,1.171504,0.446694,0.418644,3.729371,1.104617,
,2.898421,0.679660,0.755096,3.144863,0.010600,2.573565,0.609143,1.465475,


    Burst Frequency - Avg (Hz)
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,0.097917,0.134747,0.103409,0.115972,0.090179,0.119742,0.146945,0.122292,
B SEM,0.018995,0.024795,0.010184,0.014546,0.015961,0.015267,0.017674,0.014833,
B Replicates,0.058333,0.116667,0.083333,0.033333,0.160417,0.218750,0.180000,0.114583,
,0.056250,0.066667,0.050000,0.102083,0.056250,0.078571,0.050000,0.033333,
,0.056250,0.142857,0.129167,0.137500,0.018750,0.016667,0.147917,0.097917,
,0.087500,0.070833,0.110417,0.202083,0.100000,0.075000,0.183333,NaN,
,NaN,0.119048,0.093750,0.083333,0.073810,0.083333,0.183333,0.166667,
,NaN,0.066667,0.091667,0.133333,0.068750,0.141667,0.097917,0.104167,
,0.062500,0.129167,NaN,0.150000,0.039583,0.158333,0.100000,0.070833,
,0.241667,0.062500,0.068750,0.135417,0.077083,0.137500,0.062500,NaN,
,0.106250,0.373810,0.100000,0.154167,0.093750,0.114583,0.212500,0.183333,
,0.162500,0.168750,0.177083,0.083333,0.225000,0.129167,0.129167,0.141667,
,0.077083,0.110417,0.127083,0.143750,0.102083,0.172917,0.254167,0.158333,
,0.070833,0.189583,0.106250,0.033333,0.066667,0.110417,0.162500,0.152083,


    Burst Frequency - Std (Hz)
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
